,name,sector,ticker
0,AmBev,beverages,ABEV3
1,B2W,online retail,BTOW3
2,B3,stock exchange,B3SA3
3,Banco do Brasil,banking,BBAS3
4,Bradesco,banking,BBDC3
5,Bradesco,banking,BBDC4
6,Bradespar,holding,BRAP4
7,Braskem,petrochemicals,BRKM5
8,BRF,foods,BRFS3
9,CCR,transportation,CCRO3
10,CEMIG,electricity utility,CMIG4
11,Cielo,payment system,CIEL3
12,Copel,electricity utility,CPLE6
13,Cosan,conglomerate,CSAN3
14,CPFL Energia,electric utility,CPFE3
15,CSN,siderurgy and metallurgy,CSNA3
16,Cyrela Brazil Realty,real estate,CYRE3
17,EcoRodovias,transportation,ECOR3
18,EDP - Energias do Brasil,electricity utility,ENBR3
19,Eletrobras,electric utility,ELET3
20,Eletrobras,electric utility,ELET6
21,Embraer,aerospace/defense,EMBR3
22,ENGIE Brasil,electricity utility,EGIE3
23,Estácio,higher education,ESTC3
24,Fibria,paper and pulp,FIBR3
25,Gerdau,siderurgy and metallurgy,GGBR4
26,Gol,airlines,GOLL4
27,GPA,retail,PCAR4
28,Hypera Pharma,pharmaceutical,HYPE3
29,Iguatemi,shopping malls,IGTA3
30,Itaú Unibanco,banking,ITUB4
31,Itaúsa,holding,ITSA4
32,JBS,food and beverages,JBSS3
33,Klabin,paper and pulp,KLBN11
34,Kroton,higher education,KROT3
35,Localiza,rental car,RENT3
36,Lojas Americanas,department store,LAME4
37,Lojas Renner,department store,LREN3
38,Metalúrgica Gerdau,holding,GOAU4
39,MRV,construction and real estate,MRVE3
40,Natura,cosmetics,NATU3
41,Petrobras,oil and gas,PETR3
42,Petrobras,oil and gas,PETR4
43,Rumo,logistics,RAIL3
44,Sabesp,waste management,SBSP3
45,Santander Brasil,banking,SANB11
46,Smiles S.A.,loyalt program,SMLE3
47,Suzano Papel e Celulose,pulo and paper,SUZB5
48,Telefônica Vivo,telecommunications,VIVT4
49,TIM Participações,telecommunications,TIMP3
50,Ultrapar,conglomerate,UGPA3
51,Usiminas,siderurgy and metallurgy,USIM5
52,Vale,mining,VALE3
53,Via Varejo,retail,VVAR11
54,WEG,industrial engineering,WEGE3
